Name ,Link,State,Party
"Adams, Alma",https://twitter.com/RepAdams,NC,D
"Aderholt, Robert",https://twitter.com/Robert_Aderholt,AL,R
"Aguilar, Pete",https://twitter.com/RepPeteAguilar,CA,D
"Allen, Rick",https://twitter.com/RepRickAllen,GA,R
"Allred, Colin",https://twitter.com/RepColinAllred,TX,D
"Amodei, Mark",https://twitter.com/MarkAmodeiNV2,NV,R
"Armstrong, Kelly",https://twitter.com/RepArmstrongND,ND,R
"Arrington, Jodey",https://twitter.com/RepArrington,TX,R
"Auchincloss, Jake",https://twitter.com/RepAuchincloss,MA,D
"Axne, Cindy",https://twitter.com/RepCindyAxne,IA,D
"Babin, Brian",https://twitter.com/RepBrianBabin,TX,R
"Bacon, Don",https://twitter.com/RepDonBacon,NE,R
"Baird, Jim",https://twitter.com/RepJimBaird,IN,R
"Balderson, Troy",https://twitter.com/RepBalderson,OH,R
"Banks, Jim",https://twitter.com/RepJimBanks,IN,R
"Barr, Andy",https://twitter.com/RepAndyBarr,KY,R
"Barragán, Nanette",https://twitter.com/RepBarragan,CA,D
"Bass, Karen",https://twitter.com/RepKarenBass,CA,D
"Beatty, Joyce",https://twitter.com/RepBeatty,OH,D
"Bentz, Cliff",https://twitter.com/RepBentz,OR,R
"Bera, Ami",https://twitter.com/RepBera,CA,D
"Bergman, Jack",https://twitter.com/RepJackBergman,MI,R
"Beyer, Don",https://twitter.com/RepDonBeyer,VA,D
"Bice, Stephanie I.",https://twitter.com/RepBice,OK,R
"Biggs, Andy",https://twitter.com/RepAndyBiggsAZ,AZ,R
"Bilirakis, Gus M.",https://twitter.com/RepGusBilirakis,FL,R
"Bishop Jr., Sanford D.",https://twitter.com/SanfordBishop,GA,D
"Bishop, Dan",https://twitter.com/RepDanBishop,NC,R
"Blumenauer, Earl",https://twitter.com/repblumenauer,OR,D
"Blunt Rochester, Lisa",https://twitter.com/RepLBR,DE,D
"Boebert, Lauren",https://twitter.com/RepBoebert,CO,R
"Bonamici, Suzanne",https://twitter.com/RepBonamici,OR,D
"Bost, Mike",https://twitter.com/RepBost,IL,R
"Bourdeaux, Carolyn",https://twitter.com/RepBourdeaux,GA,D
"Bowman, Jamaal",https://twitter.com/RepBowman,NY,D
"Boyle, Brendan",https://twitter.com/CongBoyle,PA,D
"Brady, Kevin",https://twitter.com/RepKevinBrady,TX,R
"Brooks, Mo",https://twitter.com/RepMoBrooks,AL,R
"Brown, Anthony",https://twitter.com/RepAnthonyBrown,MD,D
"Brown, Shontel",https://twitter.com/RepShontelBrown,OH,D
"Brownley, Julia",https://twitter.com/RepBrownley,CA,D
"Buchanan, Vern",https://twitter.com/VernBuchanan,FL,R
"Buck, Ken",https://twitter.com/RepKenBuck,CO,R
