Name ,Link,State ,Party 
"Baldwin, Tammy",https://twitter.com/SenatorBaldwin,WI,D
"Barrasso, John",https://twitter.com/SenJohnBarrasso,WY,R
"Bennet, Michael F.",https://twitter.com/SenatorBennet,CO,D
"Blackburn, Marsha",https://twitter.com/MarshaBlackburn,TN,R
"Blumenthal, Richard",https://twitter.com/SenBlumenthal,CT,D
"Blunt, Roy",https://twitter.com/RoyBlunt,MO,R
"Booker, Cory A.",https://twitter.com/CoryBooker,NJ,D
"Boozman, John",https://twitter.com/JohnBoozman,AR,R
"Braun, Mike",https://twitter.com/SenatorBraun,IN,R
"Brown, Sherrod",https://twitter.com/SenSherrodBrown,OH,D
"Burr, Richard",https://twitter.com/SenatorBurr,NC,R
"Cantwell, Maria",https://twitter.com/SenatorCantwell,WA,D
"Capito, Shelley Moore",https://twitter.com/SenCapito,WV,R
"Cardin, Benjamin L.",https://twitter.com/SenatorCardin,MD,D
"Carper, Thomas R.",https://twitter.com/SenatorCarper,DE,D
"Casey, Robert P. Jr.",https://twitter.com/SenBobCasey,PA,D
"Cassidy, Bill",https://twitter.com/SenBillCassidy,LA,R
"Collins, Susan M.",https://twitter.com/SenatorCollins,ME,R
"Coons, Christopher A.",https://twitter.com/ChrisCoons,DE,D
"Cornyn, John",https://twitter.com/JohnCornyn,TX,R
"Cortez Masto, Catherine",https://twitter.com/SenCortezMasto,NV,D
"Cotton, Tom",https://twitter.com/SenTomCotton,AR,R
"Cramer, Kevin",https://twitter.com/SenKevinCramer,ND,R
"Crapo, Mike",https://twitter.com/MikeCrapo,ID,R
"Cruz, Ted",https://twitter.com/SenTedCruz,TX,R
"Daines, Steve",https://twitter.com/SteveDaines,MT,R
"Duckworth, Tammy",https://twitter.com/SenDuckworth,IL,D
"Durbin, Richard J.",https://twitter.com/SenatorDurbin,IL,D
"Ernst, Joni",https://twitter.com/SenJoniErnst,IA,R
"Feinstein, Dianne",https://twitter.com/SenFeinstein,CA,D
"Fischer, Deb",https://twitter.com/SenatorFischer,NE,R
"Gillibrand, Kirsten E.",https://twitter.com/SenGillibrand,NY,D
"Graham, Lindsey",https://twitter.com/LindseyGrahamSC,SC,R
"Grassley, Chuck",https://twitter.com/ChuckGrassley,IA,R
"Hagerty, Bill",https://twitter.com/SenatorHagerty,TN,R
"Hassan, Margaret Wood",https://twitter.com/SenatorHassan,NH,D
"Hawley, Josh",https://twitter.com/HawleyMO,MO,R
"Heinrich, Martin",https://twitter.com/MartinHeinrich,NM,D
