rowid,text,party,user,url
173654,"In celebration of #NationalSelfieDay, here are a few of my faves w/ Georgians visiting the @uscapitol #gapol https://t.co/uIRZku9vWM",R,sendavidperdue,https://twitter.com/sendavidperdue/status/877604990994591745
61445,Honored to have such great support. Thank you to everyone who came to the 1st Barnburner. Don't miss the next one:äó_ https://t.co/65sTdgLGSF,R,RandPaul,https://twitter.com/RandPaul/status/783790585043791872
18148,"Are your insurance premiums going up? ""The problem is,...it's not affordable."" #DefundObamacare #UNAffordableCareAct http://t.co/fr2kUfJGge",R,InhofePress,https://twitter.com/InhofePress/status/390530999852871681
30818,RT @spurs: Merry Christmas! Here's a full minute of Spurs dunks from today's win: https://t.co/mEPJRbFUQ5,R,JohnCornyn,https://twitter.com/JohnCornyn/status/813213873637572608
270915,Thanks to representatives from the Arkansas Association of Area Agencies on Aging for meeting with me yesterday. https://t.co/sy4If9Qt9P,R,SenTomCotton,https://twitter.com/SenTomCotton/status/849660512560435204
267240,"I'm thrilled to work with @marcorubio &amp; @purduemitch to make higher education more affordable and accessible. https://t.co/Iadeq8YEH4",R,SenToddYoung,https://twitter.com/SenToddYoung/status/827174371475066880
6073,"What's happening at the VA is unacceptable, they have created a system to serve bureaucrats not patients http://t.co/MerxxsXiWv #LASEN",R,BillCassidy,https://twitter.com/BillCassidy/status/467356077018062848
13831,#UNI volleyball   Set 1 we won ovr SoIllinois 25/14,R,ChuckGrassley,https://twitter.com/ChuckGrassley/status/789985344812789760
34759,Alaskans support offshore Arctic development. I applaud @POTUS's commitment to explore development opportunities:äó_ https://t.co/UUgvFLqDhZ,R,lisamurkowski,https://twitter.com/lisamurkowski/status/858047411750666244
21353,Direct payments have become a symbol of largesse and whatäó»s wrong with agriculture policy.  Time they are eliminated. http://ht.ly/5CsOm,R,JeffFlake,https://twitter.com/JeffFlake/status/90802476697137152
238205,RT @SBAgov: Today's the day! Are you ready to #ShopSmall? #SmallBizSat https://t.co/wFAwAdMTEd,R,SenRonJohnson,https://twitter.com/SenRonJohnson/status/802501037747793920
14242,"Good to see Iowa advocates Jaclyn Strube, Chaney Kurtz + Melodee Pomerantz at panel discussionäó_ https://t.co/qevehCyuWC",R,ChuckGrassley,https://twitter.com/ChuckGrassley/status/746033156378230784
52249,RT @SenateMajLdr: It's been 30 years since we lost #Challenger. Today we honor our brave astronauts &amp; their commitment to exploration. httpäó_,R,McConnellPress,https://twitter.com/McConnellPress/status/692791891906170881
217336,"""Students suffer ObamaCare sticker shock as premiums soar, plans get cut"" http://t.co/0Jw5mS1E7V",R,SenJohnThune,https://twitter.com/SenJohnThune/status/402808521047437312
179051,Congrats to the @NevadaWolfPack boxing team on winning the 2015 @NCBABoxing National Team Title! Story via @rgj http://t.co/o8ZL1Z81CU,R,SenDeanHeller,https://twitter.com/SenDeanHeller/status/588027599315722242
21871,We can streamline the VA Choice Program &amp; support community providers. How? Learn more: https://t.co/1foAKDCecm https://t.co/FZH5rTWYKn,R,JerryMoran,https://twitter.com/JerryMoran/status/839581609527504903
272062,Join me in celebrating #NPS100 birthdayäóî I encourage you to take advantage of our national parks in AR! https://t.co/FpgSxJaMtc,R,SenTomCotton,https://twitter.com/SenTomCotton/status/779730397429174272
163918,Just announced new grants to help strengthen communities &amp; create a jobs-friendly environment in #WV. Details here: https://t.co/xXHoaccdTA,R,SenCapito,https://twitter.com/SenCapito/status/870296055686062080
252553,US Now Faces Even 'Tougher' Debt Crisis: Sen. Shelby http://t.co/TVwXjzCM,R,SenShelby,https://twitter.com/SenShelby/status/286905198830571520
266226,.@fayobserver: Protection for Fort Bragg's 440th Airlift Wing included in defense spending bill.  http://t.co/IktbvewZ9e #ncpol,R,SenThomTillis,https://twitter.com/SenThomTillis/status/649322078169112576
216888,".@nancook on my bill to combat long-term joblessness: ""Making a Move to Counter Unemployment &amp; Boost Social Mobility"" http://t.co/6BhjMBsMZ4",R,SenJohnThune,https://twitter.com/SenJohnThune/status/479659286793302016
126899,"At #fbboost event: ""Washington needs to do all we can to help small businesses start, survive &amp; grow."" https://t.co/dJtkSJF0Qw",R,SenatorRisch,https://twitter.com/SenatorRisch/status/900755334658228232
213605,"Must-read @WSJ: ""Ending the Catfish Fight: The Senate can roll back protectionist barrier to freer trade with Asia"" https://t.co/inyOfN1nmm",R,SenJohnMcCain,https://twitter.com/SenJohnMcCain/status/735204939090268160
68388,"Have something we can help you with? My staff will be in Harrisonville Thurs, June 23, at 9am: https://t.co/T4vLhtzWpH",R,RoyBlunt,https://twitter.com/RoyBlunt/status/745273590233210882
163767,Sat down w/ @FCC nominee Brendan Carr yesterday &amp; stressed the importance of one of my top priorities - closing theäó_ https://t.co/QaMJiMtP8P,R,SenCapito,https://twitter.com/SenCapito/status/885523634974076928
283083,@Phillies_chants audibly.,R,SteveDaines,https://twitter.com/SteveDaines/status/832375177807851520
33710,"ISIL is large, rich, and entrenched. If I were president, they would be small, poor, and on the run. https://t.co/Nq2EAE76Sv",R,LindseyGrahamSC,https://twitter.com/LindseyGrahamSC/status/674581020243398656
53430,Congratulations to Amelia of @GreathouseElem! Enjoyed seeing you in the office today.  https://t.co/hg8lr2IzXe,R,McConnellPress,https://twitter.com/McConnellPress/status/595644740772765696
235914,"The #RAA will make federal regulations smarter &amp; more effective so they better support biz, families, &amp; job creation:https://t.co/ciMAga3Bu6",R,senrobportman,https://twitter.com/senrobportman/status/858753066983714816
175092,Iäó»ve joined @SenOrrinHatch @SenMikeLee @SenTedCruz @RandPaul in introducing Mens Rea Reform Act. More @DailySignal: https://t.co/FKfJDHOGG8,R,sendavidperdue,https://twitter.com/sendavidperdue/status/669172759109464064
143487,"Voted for resolution to overturn BLM Rule aka Planning 2.0, returning power back to the states. It now awaits @POTUS's signature. #planlocal",R,SenatorWicker,https://twitter.com/SenatorWicker/status/839241531206795264
18736,RT @SASCRepublicans: WATCH LIVE: SASC hearing on nominations to CENTCOM &amp; AFRICOM. http://t.co/pElux5qc,R,InhofePress,https://twitter.com/InhofePress/status/302071736051044352
51837,"_ô__ôWe know we could never repay the debt we owe to our fallen heroes. This #MemorialDay, and every day, let us honor these brave men &amp; women",R,McConnellPress,https://twitter.com/McConnellPress/status/737304447349465089
118551,#HappyFathersDay! Wishing you all a blessed day with family. https://t.co/Cu26Rq9vhg,R,SenatorLankford,https://twitter.com/SenatorLankford/status/744522811343933440
211509,"Glad our bill preserving Vets Choice Program signed into law - our vets deserve flexible, quality care in their cmty https://t.co/GJqvOgZo67",R,SenJohnMcCain,https://twitter.com/SenJohnMcCain/status/897173931144118274
237710,Pastor Jerome Smith from our #JosephProjectWI w/ @WCBizAlliance Tom Fotsch  @POTUS roundtable @WCTC. #WorkforceWeek https://t.co/JHSxlQpCkN,R,SenRonJohnson,https://twitter.com/SenRonJohnson/status/874757113549127680
260582,"RT @GovAbbott: Thank you to the brave men and women who are always ready, always there. https://t.co/q2mwbgW9p6",R,SenTedCruz,https://twitter.com/SenTedCruz/status/808793048477999104
127611,"From the start, I have voted to defund Obamacare. Tomorrow I will vote to oppose cloture and to defund this abomination.",R,SenatorRisch,https://twitter.com/SenatorRisch/status/383349585034215424
236272,"Thx @TheCityClub, @metrohealthCLE, @aarondmarks, @JTharp48, &amp; @KayColbyHealth for all that you do to address theäó_ https://t.co/VYfVbOqrTK",R,senrobportman,https://twitter.com/senrobportman/status/845374067884601344
170702,Thanks to @jaredpolis for defending the honor of the @Broncos on House floor against @DocHastings!,R,SenCoryGardner,https://twitter.com/SenCoryGardner/status/430811417025839104
28257,RT @autodealerstx: Thank you @JohnCornyn for meeting with our dealers and supporting recovery from #HurricaneHarvey https://t.co/aLDz0iYJml,R,JohnCornyn,https://twitter.com/JohnCornyn/status/908773940079857664
259250,Prayers for our friends in Brazoria Co. For those displaced here are shelters in the area https://t.co/gGgUUHBXZX,R,SenTedCruz,https://twitter.com/SenTedCruz/status/901837534413631489
216155,"Enjoyed reading House Mouse, Senate Mouse to the West Central Elementary School 2nd grade class. http://t.co/JGgarRhQyh",R,SenJohnThune,https://twitter.com/SenJohnThune/status/594247352514420738
50990,"RT @SenateMajLdr: Joint statement w/ @SpeakerRyan, @senorrinhatch, @RepKevinBrady re @POTUS' plan for #taxreform, economic growth äå¥ https:äó_",R,McConnellPress,https://twitter.com/McConnellPress/status/857301395908825088
166316,Congrats to @ShepherdRamsFB on Saturdayäó»s win. On to the #NCAADII championship: https://t.co/U1CZfTiVtw via @TheJournalWV,R,SenCapito,https://twitter.com/SenCapito/status/676461427658506241
261267,Congrats to Texans Simone Biles &amp; Madison Kocian &amp; the entire US womenäó»s gymnastics team for bringing home the gold! https://t.co/DyzxhUs262,R,SenTedCruz,https://twitter.com/SenTedCruz/status/763588348984172544
269103,"I also voted for HR 254, Bonneville Unit Clean Hydropower Facilitation Act, which passed the House 400/4 http://t.co/pRqyarXmDm",R,SenToddYoung,https://twitter.com/SenToddYoung/status/321988341539147776
62165,"My legislation will create new jobs, put people back to work, and give Americans the chance to succeed. https://t.co/AUngyxZXLG",R,RandPaul,https://twitter.com/RandPaul/status/722447188719243264
19618,"Saddened by passing of former Yuma County Sheriff Ralph Ogden. My condolences to Ralph's friends, family &amp; wife Patäó_ https://t.co/BRzS4yzUkM",R,JeffFlake,https://twitter.com/JeffFlake/status/837005953291730947
228570,RT @nxthompson: Orrin Hatch has anti-trust concerns. But he'd like you please not to call him a hipster. @nitashatiku https://t.co/Iwph8U74äó_,R,senorrinhatch,https://twitter.com/senorrinhatch/status/893246904980692994
251386,Tonight it was my distinct privilege to speak on the Senate floor in support of my friend &amp; our Attorney General Jeäó_ https://t.co/VWjz7c7ecK,R,SenShelby,https://twitter.com/SenShelby/status/829504231203885057
271052,Jim Donovan is a true conservative and exceptionally well-qualified to be Deputy Treasury Secretary. Statement: https://t.co/nKWzRvOa6H,R,SenTomCotton,https://twitter.com/SenTomCotton/status/841814342718885888
22888,Discussing #Ebola response &amp; preparedness this afternoon with @CDCgov director @DrFriedenCDC and Kansas Hospital Administrators.,R,JerryMoran,https://twitter.com/JerryMoran/status/525395304464781312
137070,RIP #ChuckBerry. #Legend,R,SenatorTimScott,https://twitter.com/SenatorTimScott/status/843260212769411072
97121,"Sen. Collins, @MarkUdall offer bill to give FAA flexibility &amp; avoid further disruption to air travel: http://t.co/wHpXdvlS3a",R,SenatorCollins,https://twitter.com/SenatorCollins/status/327486684545556480
