name,state,party,username
"Baldwin, Tammy",WI,D,SenatorBaldwin
"Barrasso, John",WY,R,SenJohnBarrasso
"Bennet, Michael F.",CO,D,SenatorBennet
"Blackburn, Marsha",TN,R,MarshaBlackburn
"Blumenthal, Richard",CT,D,SenBlumenthal
"Blunt, Roy",MO,R,RoyBlunt
"Booker, Cory A.",NJ,D,CoryBooker
"Boozman, John",AR,R,JohnBoozman
"Braun, Mike",IN,R,SenatorBraun
"Brown, Sherrod",OH,D,SenSherrodBrown
"Burr, Richard",NC,R,SenatorBurr
"Cantwell, Maria",WA,D,SenatorCantwell
"Capito, Shelley Moore",WV,R,SenCapito
"Cardin, Benjamin L.",MD,D,SenatorCardin
"Carper, Thomas R.",DE,D,SenatorCarper
"Casey, Robert P. Jr.",PA,D,SenBobCasey
"Cassidy, Bill",LA,R,SenBillCassidy
"Collins, Susan M.",ME,R,SenatorCollins
"Coons, Christopher A.",DE,D,ChrisCoons
"Cornyn, John",TX,R,JohnCornyn
"Cortez Masto, Catherine",NV,D,SenCortezMasto
"Cotton, Tom",AR,R,SenTomCotton
"Cramer, Kevin",ND,R,SenKevinCramer
"Crapo, Mike",ID,R,MikeCrapo
"Cruz, Ted",TX,R,SenTedCruz
"Daines, Steve",MT,R,SteveDaines
"Duckworth, Tammy",IL,D,SenDuckworth
"Durbin, Richard J.",IL,D,SenatorDurbin
"Ernst, Joni",IA,R,SenJoniErnst
"Feinstein, Dianne",CA,D,SenFeinstein
"Fischer, Deb",NE,R,SenatorFischer
"Gillibrand, Kirsten E.",NY,D,SenGillibrand
"Graham, Lindsey",SC,R,LindseyGrahamSC
"Grassley, Chuck",IA,R,ChuckGrassley
"Hagerty, Bill",TN,R,SenatorHagerty
"Hassan, Margaret Wood",NH,D,SenatorHassan
"Hawley, Josh",MO,R,HawleyMO
"Heinrich, Martin",NM,D,MartinHeinrich
"Hickenlooper, John W.",CO,D,SenatorHick
"Hirono, Mazie K.",HI,D,maziehirono
"Hoeven, John",ND,R,SenJohnHoeven
"Hyde-Smith, Cindy",MS,R,SenHydeSmith
"Inhofe, James M.",OK,R,JimInhofe
"Johnson, Ron",WI,R,SenRonJohnson
"Kaine, Tim",VA,D,timkaine
"Kelly, Mark",AZ,D,SenMarkKelly
"Kennedy, John",LA,R,SenJohnKennedy
"King, Angus S. Jr.",ME,I,SenAngusKing
"Klobuchar, Amy",MN,D,SenAmyKlobuchar
"Lankford, James",OK,R,SenatorLankford
"Leahy, Patrick J.",VT,D,SenatorLeahy
"Lee, Mike",UT,R,SenMikeLee
"Luján, Ben Ray",NM,D,SenatorLujan
"Lummis, Cynthia M.",WY,R,SenLummis
"Manchin, Joe, III",WV,D,Sen_JoeManchin
"Markey, Edward J.",MA,D,SenMarkey
"Marshall, Roger",KS,R,RogerMarshallMD
"McConnell, Mitch",KY,R,LeaderMcConnell
"Menendez, Bob",NJ,D,SenatorMenendez
"Merkley, Jeff",OR,D,SenJeffMerkley
"Moran, Jerry",KS,R,JerryMoran
"Murkowski, Lisa",AK,R,lisamurkowski
"Murphy, Christopher",CT,D,ChrisMurphyCT
"Murray, Patty",WA,D,PattyMurray
"Ossoff, Jon",GA,D,ossoff
"Padilla, Alex",CA,D,SenAlexPadilla
"Paul, Rand",KY,R,RandPaul
"Peters, Gary C.",MI,D,SenGaryPeters
"Portman, Rob",OH,R,senrobportman
"Reed, Jack",RI,D,SenJackReed
"Risch, James E.",ID,R,SenatorRisch
"Romney, Mitt",UT,R,SenatorRomney
"Rosen, Jacky",NV,D,SenJackyRosen
"Rounds, Mike",SD,R,SenatorRounds
"Rubio, Marco",FL,R,marcorubio
"Sanders, Bernard",VT,I,SenSanders
"Sasse, Ben",NE,R,SenSasse
"Schatz, Brian",HI,D,SenBrianSchatz
"Schumer, Charles E.",NY,D,SenSchumer
"Scott, Rick",FL,R,SenRickScott
"Scott, Tim",SC,R,SenatorTimScott
"Shaheen, Jeanne",NH,D,SenatorShaheen
"Shelby, Richard C.",AL,R,SenShelby
"Sinema, Kyrsten",AZ,D,SenatorSinema
"Smith, Tina",MN,D,SenTinaSmith
"Stabenow, Debbie",MI,D,SenStabenow
"Sullivan, Dan",AK,R,SenDanSullivan
"Tester, Jon",MT,D,SenatorTester
"Thune, John",SD,R,SenJohnThune
"Tillis, Thom",NC,R,SenThomTillis
"Toomey, Patrick J.",PA,R,SenToomey
"Tuberville, Tommy",AL,R,SenTuberville
"Van Hollen, Chris",MD,D,ChrisVanHollen
"Warner, Mark R.",VA,D,MarkWarner
"Warnock, Raphael G.",GA,D,SenatorWarnock
"Warren, Elizabeth",MA,D,SenWarren
"Whitehouse, Sheldon",RI,D,SenWhitehouse
"Wicker, Roger F.",MS,R,SenatorWicker
"Wyden, Ron",OR,D,RonWyden
"Young, Todd",IN,R,SenToddYoung
